6515-7880-8577-2969	"The Puppy Shelter"
7420-9062-2227-4204	"The Puppy Shelter"
3756-6333-3246-5164	"The Puppy Shelter"
3633-2468-6517-3555	"The Puppy Shelter"
4528-9507-9304-2630	"The Puppy Shelter"
5112-2106-5657-7408	"The Puppy Shelter"
5950-1467-4086-8685	"The Puppy Shelter"
9959-4290-4434-9059	"The Puppy Shelter"
6551-5798-1986-2745	"The Puppy Shelter"
8992-1721-2312-6041	"The Puppy Shelter"
3338-1489-2627-5241	"The Puppy Shelter"
8416-4992-5973-8131	"The Puppy Shelter"
5500-8132-6729-9198	"The Puppy Shelter"
2664-5773-7640-3049	"The Puppy Shelter"
9491-4858-8871-7495	"The Puppy Shelter"
1202-6948-9218-6882	"The Puppy Shelter"
1725-6368-3012-9930	"The Puppy Shelter"
9923-7945-7768-5258	"The Puppy Shelter"
4032-7731-3395-5427	"The Puppy Shelter"
4212-5603-6704-1356	"The Puppy Shelter"
