2277-5882-6970-9734	"The Puppy Shelter"
4598-8374-8864-1547	"The Puppy Shelter"
3583-4620-7378-7108	"The Puppy Shelter"
8613-3663-9481-4411	"The Puppy Shelter"
2489-9403-1478-3912	"The Puppy Shelter"
2675-9919-4187-9888	"The Puppy Shelter"
9458-3736-6086-6278	"The Puppy Shelter"
5334-4057-1242-1764	"The Puppy Shelter"
4151-5482-6821-5110	"The Puppy Shelter"
9146-4183-6344-4376	"The Puppy Shelter"
6565-3490-3284-8315	"The Puppy Shelter"
8951-4625-2788-4391	"The Puppy Shelter"
9123-2732-5728-1338	"The Puppy Shelter"
8172-4686-4545-2712	"The Puppy Shelter"
6192-8943-6170-8178	"The Puppy Shelter"
9109-3014-6079-3392	"The Puppy Shelter"
6348-6331-5162-8682	"The Puppy Shelter"
9361-5218-8371-6438	"The Puppy Shelter"
9270-6696-6967-6048	"The Puppy Shelter"
2810-8439-3773-9558	"The Puppy Shelter"
5298-8046-7291-4246	"The Puppy Shelter"
4411-9832-9655-1447	"The Puppy Shelter"
2046-3074-5317-5075	"The Puppy Shelter"
2070-3163-9522-4231	"The Puppy Shelter"
8025-4792-5582-2946	"The Puppy Shelter"
6627-2010-6342-6404	"The Puppy Shelter"
8872-6252-1271-3756	"The Puppy Shelter"
7602-3697-8242-4815	"The Puppy Shelter"
6773-1664-9170-2804	"The Puppy Shelter"
7060-3246-6884-8113	"The Puppy Shelter"
